Index  ,Expanded ,Fringe ,Depth ,Path
s14:h2 ,       7 ,    15 ,    7 ,"['right', 'down', 'left', 'down', 'left', 'up', 'up']"
s14:h3 ,       7 ,    15 ,    7 ,"['right', 'down', 'left', 'down', 'left', 'up', 'up']"
s14:h4 ,       7 ,    15 ,    7 ,"['right', 'down', 'left', 'down', 'left', 'up', 'up']"
s15:h1 ,      25 ,    49 ,    9 ,"['down', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'left']"
s15:h2 ,      16 ,    30 ,    9 ,"['down', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'left']"
s15:h3 ,      16 ,    30 ,    9 ,"['down', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'left']"
s15:h4 ,      17 ,    32 ,    9 ,"['down', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'left']"
s16:h1 ,      67 ,   118 ,   11 ,"['right', 'up', 'left', 'down', 'down', 'right', 'up', 'right', 'up', 'left', 'left']"
s16:h2 ,      22 ,    40 ,   11 ,"['right', 'up', 'left', 'down', 'down', 'right', 'up', 'right', 'up', 'left', 'left']"
s16:h3 ,      22 ,    40 ,   11 ,"['right', 'up', 'left', 'down', 'down', 'right', 'up', 'right', 'up', 'left', 'left']"
s16:h4 ,      36 ,    63 ,   11 ,"['right', 'up', 'left', 'down', 'down', 'right', 'up', 'right', 'up', 'left', 'left']"
s17:h1 ,      76 ,   134 ,   11 ,"['up', 'right', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'left']"
s17:h2 ,      34 ,    61 ,   11 ,"['up', 'right', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'left']"
s17:h3 ,      32 ,    58 ,   11 ,"['up', 'right', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'left']"
s17:h4 ,      41 ,    73 ,   11 ,"['up', 'right', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'left']"
s18:h1 ,      75 ,   128 ,   11 ,"['right', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left']"
s18:h2 ,      30 ,    57 ,   11 ,"['right', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left']"
